"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","LinkedIn Workforce Report: January and February were the strongest consecutive months for hiring since August and September 2015",FALSE,44114,NA,2017-03-08 12:11:25,FALSE,NA,"839448469374894080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",8962,FALSE,FALSE,NA,NA
"2","On International Women's Day, join me in honoring the critical role of women here in America &amp; around the world.",FALSE,63995,NA,2017-03-08 11:13:44,FALSE,NA,"839433951957696513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13609,FALSE,FALSE,NA,NA
"3","I have tremendous respect for women and the many roles they serve that are vital to the fabric of our society and our economy.",FALSE,61904,NA,2017-03-08 11:12:39,FALSE,NA,"839433678275153921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13102,FALSE,FALSE,NA,NA
"4","I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!",FALSE,63760,NA,2017-03-08 00:14:30,FALSE,NA,"839268048313929729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12621,FALSE,FALSE,NA,NA
"5","Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!",FALSE,106674,NA,2017-03-07 14:14:03,FALSE,NA,"839116941956640768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23468,FALSE,FALSE,NA,NA
"6","I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!",FALSE,108522,NA,2017-03-07 13:46:28,FALSE,NA,"839110000870109184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",21554,FALSE,FALSE,NA,NA
"7","Don't worry, getting rid of state lines, which will promote competition, will be in phase 2 &amp; 3 of healthcare rollout. @foxandfriends",FALSE,72666,NA,2017-03-07 13:41:58,FALSE,NA,"839108868584124417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",15138,FALSE,FALSE,NA,NA
"8","For eight years Russia ""ran over"" President Obama, got stronger and stronger, picked-off Crimea and added missiles. Weak! @foxandfriends",FALSE,69688,NA,2017-03-07 13:13:20,FALSE,NA,"839101660886614016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",15902,FALSE,FALSE,NA,NA
"9","Our wonderful new Healthcare Bill is now out for review and negotiation. ObamaCare is a complete and total disaster - is imploding fast!",FALSE,73309,NA,2017-03-07 12:13:59,FALSE,NA,"839086723552411648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",14153,FALSE,FALSE,NA,NA
"10","122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield. Just another terrible decision!",FALSE,83125,NA,2017-03-07 12:04:13,FALSE,NA,"839084268991229952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",21068,FALSE,FALSE,NA,NA
"11","Thank you to @exxonmobil for your $20 billion investment that is creating more than 45,000 manufacturing &amp; construction jobs in the USA!",FALSE,91813,NA,2017-03-07 03:50:49,FALSE,NA,"838960097674002432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18346,FALSE,FALSE,NA,NA
"12","Buy American &amp; hire American are the principles at the core of my agenda, which is: JOBS, JOBS, JOBS! Thank you @exxonmobil.",FALSE,79979,NA,2017-03-07 03:49:54,FALSE,NA,"838959869772328960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15193,FALSE,FALSE,NA,NA
"13","There is an incredible spirit of optimism sweeping the country right now‚Äîwe're bringing back the JOBS! https://t.co/BNSLvKiEVj",FALSE,100643,NA,2017-03-06 23:49:53,FALSE,NA,"838899465390018560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23501,FALSE,FALSE,NA,NA
"14","45,000 construction &amp; manufacturing jobs in the U.S. Gulf Coast region. $20 billion investment. We are already winning again, America!",FALSE,111093,NA,2017-03-06 21:22:15,FALSE,NA,"838862312685637640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23867,FALSE,FALSE,NA,NA
"15","'President Trump Congratulates Exxon Mobil for Job-Creating Investment Program'
https://t.co/adBzWhtq8S",FALSE,66954,NA,2017-03-06 21:19:04,FALSE,NA,"838861512999649286",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12411,FALSE,FALSE,NA,NA
"16","Thank you for the great rallies all across the country. Tremendous support. Make America Great Again!",FALSE,170753,NA,2017-03-05 17:30:11,FALSE,NA,"838441522546769923",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",30616,FALSE,FALSE,NA,NA
"17","Who was it that secretly said to Russian President, ""Tell Vladimir that after the election I'll have more flexibility?"" @foxandfriends",FALSE,124455,NA,2017-03-05 11:40:20,FALSE,NA,"838353481526312961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",35955,FALSE,FALSE,NA,NA
"18","Is it true the DNC would not allow the FBI access to check server or other equipment after learning it was hacked? Can that be possible?",FALSE,94956,NA,2017-03-05 11:32:22,FALSE,NA,"838351476401520640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",24212,FALSE,FALSE,NA,NA
"19","Arnold Schwarzenegger isn't voluntarily leaving the Apprentice, he was fired by his bad (pathetic) ratings, not by me. Sad end to great show",FALSE,106380,NA,2017-03-04 13:19:29,FALSE,NA,"838016045222854656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23209,FALSE,FALSE,NA,NA
"20","How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!",FALSE,161895,NA,2017-03-04 12:02:48,FALSE,NA,"837996746236182529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",52763,FALSE,FALSE,NA,NA
"21","I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!",FALSE,131165,NA,2017-03-04 11:52:54,FALSE,NA,"837994257566863360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",37109,FALSE,FALSE,NA,NA
"22","Is it legal for a sitting President to be ""wire tapping"" a race for president prior to an election? Turned down by court earlier. A NEW LOW!",FALSE,123218,NA,2017-03-04 11:49:00,FALSE,NA,"837993273679560704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",36421,FALSE,FALSE,NA,NA
"23","Just out: The same Russian Ambassador that met Jeff Sessions visited the Obama White House 22 times, and 4 times last year alone.",FALSE,120664,NA,2017-03-04 11:42:59,FALSE,NA,"837991759045079040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",37428,FALSE,FALSE,NA,NA
"24","Terrible! Just found out that Obama had my ""wires tapped"" in Trump Tower just before the victory. Nothing found. This is McCarthyism!",FALSE,143115,NA,2017-03-04 11:35:20,FALSE,NA,"837989835818287106",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",50489,FALSE,FALSE,NA,NA
"25","The first meeting Jeff Sessions had with the Russian Amb was set up by the Obama Administration under education program for 100 Ambs......",FALSE,87792,NA,2017-03-04 11:26:47,FALSE,NA,"837987684660412416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",24486,FALSE,FALSE,NA,NA
"26","MAKE AMERICA GREAT AGAIN! https://t.co/kuQiZDz4rA",FALSE,121171,NA,2017-03-03 22:13:10,FALSE,NA,"837787963027144706",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",34749,FALSE,FALSE,NA,NA
"27","I hereby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it. https://t.co/qCDljfF3wN",FALSE,121810,NA,2017-03-03 21:02:23,FALSE,NA,"837770149767827456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",39810,FALSE,FALSE,NA,NA
"28","We must fix our education system for our kids to Make America Great Again. Wonderful day at Saint Andrew in Orlando. https://t.co/OTJaHcvLzf",FALSE,82610,NA,2017-03-03 20:48:21,FALSE,NA,"837766616603586560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16363,FALSE,FALSE,NA,NA
"29","We should start an immediate investigation into @SenSchumer and his ties to Russia and Putin. A total hypocrite! https://t.co/Ik3yqjHzsA",FALSE,150205,NA,2017-03-03 17:54:30,FALSE,NA,"837722869106880517",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",54191,FALSE,FALSE,NA,NA
"30","Weekly Address
Join me here: https://t.co/SEavQK5zy5 https://t.co/EnyXYeqgcp",FALSE,53719,NA,2017-03-03 16:41:55,FALSE,NA,"837704599704375296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10113,FALSE,FALSE,NA,NA
"31","It is so pathetic that the Dems have still not approved my full Cabinet.",FALSE,137491,NA,2017-03-03 12:19:12,FALSE,NA,"837638488656920576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",28011,FALSE,FALSE,NA,NA
"32","Nick Adams new book, Green Card Warrior, is a must read. The merit-based system is the way to go. Canada, Australia! @foxandfriends",FALSE,66577,NA,2017-03-03 12:00:39,FALSE,NA,"837633820417482754",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",13817,FALSE,FALSE,NA,NA
"33","...is all of the illegal leaks of classified and other information. It is a total ""witch hunt!""",FALSE,93749,NA,2017-03-03 02:38:48,FALSE,NA,"837492425283219458",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",18209,FALSE,FALSE,NA,NA
"34","...to win. The Democrats are overplaying their hand. They lost the election, and now they have lost their grip on reality. The real story...",FALSE,110403,NA,2017-03-03 02:35:33,FALSE,NA,"837491607171629057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23368,FALSE,FALSE,NA,NA
"35","...intentional. This whole narrative is a way of saving face for Democrats losing an election that everyone thought they were supposed.....",FALSE,90836,NA,2017-03-03 02:27:29,FALSE,NA,"837489578193846278",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",17616,FALSE,FALSE,NA,NA
"36","Jeff Sessions is an honest man. He did not say anything wrong. He could have stated his response more accurately, but it was clearly not....",FALSE,102937,NA,2017-03-03 02:22:49,FALSE,NA,"837488402438176769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",19949,FALSE,FALSE,NA,NA
"37","Since November 8th, Election Day, the Stock Market has posted $3.2 trillion in GAINS and consumer confidence is at a 15 year high. Jobs!",FALSE,176559,NA,2017-03-02 11:00:41,FALSE,NA,"837256338203881472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",37333,FALSE,FALSE,NA,NA
"38","THANK YOU!",FALSE,186212,NA,2017-03-01 13:38:44,FALSE,NA,"836933725602656256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",27776,FALSE,FALSE,NA,NA
"39","#JointSession #MAGAÌ†ºÌ∑∫Ì†ºÌ∑∏
https://t.co/RDO6Jt2pip",FALSE,64024,NA,2017-03-01 01:42:16,FALSE,NA,"836753422271582208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10239,FALSE,FALSE,NA,NA
"40","Join me live at 9:00 P.M. 
#JointAddress https://t.co/J882zbyVkJ https://t.co/gTtK3vJmkU",FALSE,55085,NA,2017-03-01 01:30:49,FALSE,NA,"836750538943377408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",7405,FALSE,FALSE,NA,NA
"41","I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!",FALSE,83647,NA,2017-02-28 02:43:03,FALSE,NA,"836406328369242113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",11101,FALSE,FALSE,NA,NA
"42","GOP now viewed more favorably than Dems, in Trump era (per NBC/WSJ poll) via @HotlineJosh:
https://t.co/Soebxtg2Zd",FALSE,71235,NA,2017-02-27 21:48:21,FALSE,NA,"836332166728527872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14760,FALSE,FALSE,NA,NA
"43","Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo‚Ä¶ https://t.co/60jigi6ffS",FALSE,90310,NA,2017-02-27 17:06:23,TRUE,NA,"836261209540288513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15476,FALSE,FALSE,NA,NA
"44","Big dinner with Governors tonight at White House. Much to be discussed, including healthcare.",FALSE,107320,NA,2017-02-26 20:13:52,FALSE,NA,"835946001873657858",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",15909,FALSE,FALSE,NA,NA
"45","Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!",FALSE,114697,NA,2017-02-26 18:16:41,FALSE,NA,"835916511944523777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",24884,FALSE,FALSE,NA,NA
"46","For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately &amp; fairly!",FALSE,110947,NA,2017-02-26 11:42:39,FALSE,NA,"835817351178301440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",22068,FALSE,FALSE,NA,NA
"47","The race for DNC Chairman was, of course, totally ""rigged."" Bernie's guy, like Bernie himself, never had a chance. Clinton demanded Perez!",FALSE,88417,NA,2017-02-26 11:33:16,FALSE,NA,"835814988686233601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",19341,FALSE,FALSE,NA,NA
"48","Congratulations to Thomas Perez, who has just been named Chairman of the DNC. I could not be happier for him, or for the Republican Party!",FALSE,132665,NA,2017-02-25 22:02:22,FALSE,NA,"835610917568200705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",29282,FALSE,FALSE,NA,NA
"49","I will not be attending the White House Correspondents' Association Dinner this year. Please wish everyone well and have a great evening!",FALSE,125822,NA,2017-02-25 21:53:21,FALSE,NA,"835608648625836032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",24239,FALSE,FALSE,NA,NA
"50","Weekly Address from @WhiteHouse: https://t.co/uaoQSHBOQB https://t.co/7eF6aC6kEC",FALSE,46206,NA,2017-02-25 18:12:25,FALSE,NA,"835553050530099200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10143,FALSE,FALSE,NA,NA
"51","Great optimism for future of U.S. business, AND JOBS, with the DOW having an 11th straight record close. Big tax &amp; regulation cuts coming!",FALSE,105331,NA,2017-02-25 13:27:04,FALSE,NA,"835481237879926784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",19992,FALSE,FALSE,NA,NA
"52","The media has not reported that the National Debt in my first month went down by $12 billion vs a $200 billion increase in Obama first mo.",FALSE,203141,NA,2017-02-25 13:19:18,FALSE,NA,"835479283699224576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",62102,FALSE,FALSE,NA,NA
"53","Maybe the millions of people who voted to MAKE AMERICA GREAT AGAIN should have their own rally. It would be the biggest of them all!",FALSE,160746,NA,2017-02-25 12:25:24,FALSE,NA,"835465719970217984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",34984,FALSE,FALSE,NA,NA
"54","FAKE NEWS media knowingly doesn't tell the truth. A great danger to our country. The failing @nytimes has become a joke. Likewise @CNN. Sad!",FALSE,110384,NA,2017-02-25 03:09:18,FALSE,NA,"835325771858251776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",26646,FALSE,FALSE,NA,NA
"55","Trump vows to fight 'epidemic' of human trafficking 
https://t.co/oDLZ2NdrtA",FALSE,91931,NA,2017-02-24 17:04:19,FALSE,NA,"835173525522624512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20344,FALSE,FALSE,NA,NA
"56","Going to CPAC!",FALSE,72738,NA,2017-02-24 13:49:27,FALSE,NA,"835124485632180224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",9036,FALSE,FALSE,NA,NA
"57","find the leakers within the FBI itself. Classified information is being given to media that could have a devastating effect on U.S. FIND NOW",FALSE,101924,NA,2017-02-24 12:36:34,FALSE,NA,"835106143462703104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",21885,FALSE,FALSE,NA,NA
"58","The FBI is totally unable to stop the national security ""leakers"" that have permeated our government for a long time. They can't even......",FALSE,81302,NA,2017-02-24 12:31:49,FALSE,NA,"835104946034991106",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",17791,FALSE,FALSE,NA,NA
"59","Big interview tonight by Henry Kravis at The Business Council of Washington. Looking forward to it!",FALSE,58870,NA,2017-02-24 00:06:44,FALSE,NA,"834917440450609152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",8351,FALSE,FALSE,NA,NA
"60","Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!",FALSE,109888,NA,2017-02-24 00:01:40,FALSE,NA,"834916167177371648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23513,FALSE,FALSE,NA,NA
"61","'S&amp;P 500 Edges Higher After Trump Renews Jobs Pledge' https://t.co/WtrRJVFmvU",FALSE,56896,NA,2017-02-23 22:53:45,FALSE,NA,"834899071982841856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10675,FALSE,FALSE,NA,NA
"62","Very much enjoyed my tour of the Smithsonian's National Museum of African American History and Culture...A great job done by amazing people!",FALSE,118227,NA,2017-02-22 12:50:56,FALSE,NA,"834384982495940613",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16422,FALSE,FALSE,NA,NA
"63","One thing I will say about Rep. Keith Ellison, in his fight to lead the DNC, is that he was the one who predicted early that I would win!",FALSE,80429,NA,2017-02-22 12:20:40,FALSE,NA,"834377364947816448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",12300,FALSE,FALSE,NA,NA
"64","The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!",FALSE,120125,NA,2017-02-21 23:23:13,FALSE,NA,"834181712783560705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",26430,FALSE,FALSE,NA,NA
"65","'Americans overwhelmingly oppose sanctuary cities' https://t.co/s5QvsJWA6u",FALSE,108581,NA,2017-02-21 20:46:42,FALSE,NA,"834142323881684993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23951,FALSE,FALSE,NA,NA
"66","Congratulations to our new National Security Advisor, General H.R. McMaster. Video: https://t.co/BKn9r225Kk https://t.co/VBXcJ1b6Pv",FALSE,95353,NA,2017-02-21 00:38:40,FALSE,NA,"833838311315763200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16208,FALSE,FALSE,NA,NA
"67","Just named General H.R. McMaster National Security Advisor.",FALSE,107915,NA,2017-02-20 21:00:37,FALSE,NA,"833783438922629125",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16000,FALSE,FALSE,NA,NA
"68","HAPPY PRESIDENTS DAY - MAKE AMERICA GREAT AGAIN!",FALSE,246193,NA,2017-02-20 14:33:33,FALSE,NA,"833686030679207936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",49758,FALSE,FALSE,NA,NA
"69","Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT!",FALSE,143589,NA,2017-02-20 14:15:42,FALSE,NA,"833681539997253636",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",35526,FALSE,FALSE,NA,NA
"70","My statement as to what's happening in Sweden was in reference to a story that was broadcast on @FoxNews concerning immigrants &amp; Sweden.",FALSE,114178,NA,2017-02-19 21:57:01,FALSE,NA,"833435244451753984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",26648,FALSE,FALSE,NA,NA
"71","Will be having many meetings this weekend at The Southern White House. Big 5:00 P.M. speech in Melbourne, Florida. A lot to talk about!",FALSE,100857,NA,2017-02-18 13:51:20,FALSE,NA,"832950628750127106",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",15494,FALSE,FALSE,NA,NA
"72","Don't believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS and am in the process of fixing it.",FALSE,189084,NA,2017-02-18 13:31:53,FALSE,NA,"832945737625387008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",39653,FALSE,FALSE,NA,NA
"73","Looking forward to the Florida rally tomorrow. Big crowd expected!",FALSE,100651,NA,2017-02-18 00:02:58,FALSE,NA,"832742165436579840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",14382,FALSE,FALSE,NA,NA
"74","""One of the most effective press conferences I've ever seen!"" says Rush Limbaugh. Many agree.Yet FAKE MEDIA  calls it differently! Dishonest",FALSE,122220,NA,2017-02-17 23:15:56,FALSE,NA,"832730328108134402",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",22077,FALSE,FALSE,NA,NA
"75","The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People!",FALSE,162699,NA,2017-02-17 21:48:22,FALSE,NA,"832708293516632065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",51216,FALSE,FALSE,NA,NA
"76","Join me at 11:00am:
Watch here: https://t.co/veqKmsGAwf https://t.co/UzndIjIqjM",FALSE,57405,NA,2017-02-17 15:34:14,FALSE,NA,"832614137586933760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10060,FALSE,FALSE,NA,NA
"77","General Keith Kellogg, who I have known for a long time, is very much in play for NSA - as are three others.",FALSE,70741,NA,2017-02-17 13:16:22,FALSE,NA,"832579442790772736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11140,FALSE,FALSE,NA,NA
"78","Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!",FALSE,153220,NA,2017-02-17 11:43:10,FALSE,NA,"832555987299082242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",26795,FALSE,FALSE,NA,NA
"79","Going to Charleston, South Carolina, in order to spend time with Boeing and talk jobs! Look forward to it.",FALSE,100562,NA,2017-02-17 11:38:20,FALSE,NA,"832554772318322688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",14533,FALSE,FALSE,NA,NA
"80","Despite the long delays by the Democrats in finally approving Dr. Tom Price, the repeal and replacement of ObamaCare is moving fast!",FALSE,104452,NA,2017-02-17 10:13:32,FALSE,NA,"832533430168608768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",17438,FALSE,FALSE,NA,NA
"81","'Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh",FALSE,95103,NA,2017-02-16 23:44:54,FALSE,NA,"832375230274400256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18980,FALSE,FALSE,NA,NA
"82","The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!",FALSE,123245,NA,2017-02-16 14:39:52,FALSE,NA,"832238070460186625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",27307,FALSE,FALSE,NA,NA
"83","FAKE NEWS media, which makes up stories and ""sources,"" is far more effective than the discredited Democrats - but they are fading fast!",FALSE,100966,NA,2017-02-16 14:10:49,FALSE,NA,"832230758299340800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",20173,FALSE,FALSE,NA,NA
"84","The spotlight has finally been put on the low-life leakers! They will be caught!",FALSE,128268,NA,2017-02-16 12:02:59,FALSE,NA,"832198588201594880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",25606,FALSE,FALSE,NA,NA
"85","Leaking, and even illegal classified leaking, has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!",FALSE,91167,NA,2017-02-16 11:58:43,FALSE,NA,"832197515248275456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",17346,FALSE,FALSE,NA,NA
"86","Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!",FALSE,129715,NA,2017-02-16 11:34:46,FALSE,NA,"832191485701451777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",24034,FALSE,FALSE,NA,NA
