"","artist","album_name","track_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","track_popularity"
"1","Oasis","Be Here Now","D'You Know What I Mean?",0.312,0.886,"B",-3.244,"minor",0.0427,7.32e-05,0.000161,0.0885,0.251,80.025,462227,0
"2","Oasis","Be Here Now","My Big Mouth",0.367,0.988,"F",-1.071,"major",0.0706,0.00425,7.58e-06,0.0486,0.327,135.043,302600,0
"3","Oasis","Be Here Now","Magic Pie",0.327,0.895,"C",-3.064,"major",0.0476,0.134,0.00206,0.385,0.295,148.348,439373,0
"4","Oasis","Be Here Now","Stand by Me",0.214,0.828,"G",-2.66,"major",0.0383,0.0142,1.61e-06,0.161,0.388,169.876,356600,0
"5","Oasis","Be Here Now","I Hope, I Think, I Know",0.355,0.978,"D",-2.331,"major",0.0596,0.000657,0.00495,0.448,0.19,137.059,262427,0
"6","Oasis","Be Here Now","The Girl in the Dirty Shirt",0.389,0.905,"G",-3.126,"major",0.0352,0.127,0,0.382,0.315,166.128,347400,0
"7","Oasis","Be Here Now","Fade In-Out",0.399,0.729,"G",-5.515,"major",0.0333,0.0126,0.000324,0.368,0.181,85.993,412293,0
"8","Oasis","Be Here Now","Don't Go Away",0.426,0.838,"C",-4.38,"major",0.0362,0.0532,3.02e-06,0.0829,0.182,81.089,288600,0
"9","Oasis","Be Here Now","Be Here Now",0.486,0.913,"A",-2.175,"major",0.0394,0.0122,0.498,0.446,0.308,112.07,313200,0
"10","Oasis","Be Here Now","All Around the World",0.366,0.831,"G",-3.449,"major",0.0429,0.00572,0.00162,0.484,0.339,82.04,560000,0
"11","Oasis","Be Here Now","It's Gettin' Better (Man!!)",0.368,0.92,"D",-1.931,"major",0.0627,0.000201,0.167,0.418,0.151,126.133,419973,0
"12","Oasis","Be Here Now","All Around the World - Reprise",0.307,0.841,"D",-5.759,"major",0.0496,0.00035,0.866,0.477,0.183,81.944,128067,0
"13","Oasis","The Masterplan","Acquiesce",0.218,0.959,"G",-1.783,"major",0.0705,0.00687,0.000128,0.423,0.259,111.703,264960,14
"14","Oasis","The Masterplan","Underneath The Sky",0.486,0.945,"B",-3.631,"minor",0.054,0.00197,0,0.721,0.814,124.015,201133,11
"15","Oasis","The Masterplan","Talk Tonight",0.38,0.454,"E",-8.449,"minor",0.026,0.477,1.39e-05,0.372,0.351,85.351,261107,14
"16","Oasis","The Masterplan","Going Nowhere",0.497,0.729,"F",-3.685,"major",0.0301,0.263,0,0.357,0.104,107.014,279427,12
"17","Oasis","The Masterplan","Fade Away",0.082,0.69,"D",-3.269,"major",0.0486,3.18e-05,0.658,0.385,0.239,76.351,253040,12
"18","Oasis","The Masterplan","The Swamp Song",0.192,0.963,"G",-1.899,"minor",0.0671,0.000825,0.971,0.158,0.184,142.65,259667,8
"19","Oasis","The Masterplan","I Am The Walrus",0.231,0.983,"E",-3.295,"major",0.149,2.92e-05,0.661,0.372,0.0391,99.254,385293,17
"20","Oasis","The Masterplan","Listen Up",0.236,0.906,"A",-2.475,"major",0.0603,0.0205,0.0189,0.365,0.355,98.306,381133,15
"21","Oasis","The Masterplan","Rockin' Chair",0.518,0.912,"A",-3.976,"minor",0.0341,0.00241,0,0.0644,0.306,126.008,275840,12
"22","Oasis","The Masterplan","Half The World Away",0.426,0.454,"C",-8.68,"major",0.033,0.291,0,0.0769,0.223,115.711,261800,12
"23","Oasis","The Masterplan","(It's Good) To Be Free",0.318,0.911,"E",-3.04,"minor",0.0556,0.0031,0.0107,0.686,0.355,100.047,258827,12
"24","Oasis","The Masterplan","Stay Young",0.398,0.987,"D",-2.43,"major",0.0689,0.00602,0.000988,0.331,0.217,126.001,305373,19
"25","Oasis","The Masterplan","Headshrinker",0.158,0.9,"G",-2.141,"major",0.057,0.0495,7.34e-06,0.364,0.238,77.918,278293,11
"26","Oasis","The Masterplan","The Masterplan",0.371,0.618,"G",-6.4,"major",0.0304,0.105,7.15e-05,0.0779,0.154,147.713,322640,15
"27","Oasis","Standing On The Shoulder Of Giants","Fuckin' In The Bushes",0.374,0.807,"A",-8.645,"minor",0.0477,0.00134,0.0654,0.891,0.369,134.142,198467,39
"28","Oasis","Standing On The Shoulder Of Giants","Go Let It Out",0.408,0.856,"D",-5.614,"major",0.0334,0.0107,5.51e-05,0.514,0.619,84.196,278400,44
"29","Oasis","Standing On The Shoulder Of Giants","Who Feels Love?",0.322,0.801,"C",-5.722,"major",0.0382,0.185,0.0428,0.245,0.324,152.96,344227,39
"30","Oasis","Standing On The Shoulder Of Giants","Put Yer Money Where Yer Mouth Is",0.404,0.924,"G#",-4.248,"major",0.0546,4.25e-06,2.84e-05,0.112,0.143,124.186,267160,23
"31","Oasis","Standing On The Shoulder Of Giants","Little James",0.401,0.604,"C",-7.009,"major",0.0261,0.32,0.0381,0.275,0.141,82.026,255267,27
"32","Oasis","Standing On The Shoulder Of Giants","Gas Panic!",0.369,0.681,"F",-6.006,"minor",0.042,0.0123,0.00389,0.356,0.233,147.795,368267,40
"33","Oasis","Standing On The Shoulder Of Giants","Where Did It All Go Wrong?",0.377,0.728,"E",-5.07,"minor",0.0321,0.041,0,0.114,0.432,149.845,266600,40
"34","Oasis","Standing On The Shoulder Of Giants","Sunday Morning Call",0.296,0.59,"G",-5.924,"major",0.0304,0.0364,0.0658,0.162,0.195,156.1,312640,42
"35","Oasis","Standing On The Shoulder Of Giants","I Can See A Liar",0.347,0.768,"A",-5.713,"minor",0.0526,0.000397,0,0.384,0.318,128.038,192960,23
"36","Oasis","Standing On The Shoulder Of Giants","Roll It Over",0.271,0.627,"A",-6.367,"major",0.0373,0.011,9.63e-05,0.109,0.164,131.714,391107,37
"37","Oasis","Familiar To Millions - The Highlights","Go Let It Out - Live from Wembley Stadium, 2000",0.337,0.926,"D",-4.776,"major",0.0424,0.00018,0.0434,0.921,0.56,85.183,350960,29
"38","Oasis","Familiar To Millions - The Highlights","Who Feels Love? - Live at Wembley Stadium, 2000",0.33,0.878,"C",-5.529,"major",0.0371,0.00131,0.0033,0.956,0.135,79.959,360267,27
"39","Oasis","Familiar To Millions - The Highlights","Supersonic - Live at Wembley Stadium, 2000",0.303,0.99,"F#",-4.516,"minor",0.0775,6.55e-05,0.208,0.99,0.196,119.477,269773,30
"40","Oasis","Familiar To Millions - The Highlights","Shakermaker - Live at Wembley Stadium, 2000",0.254,0.959,"E",-4.507,"major",0.0868,0.00416,0.0186,0.985,0.118,104.592,313227,26
"41","Oasis","Familiar To Millions - The Highlights","Acquiesce - Live at Wembley Stadium, 2000",0.305,0.989,"F",-4.159,"major",0.161,0.00021,0.00218,0.981,0.118,125.352,246667,28
"42","Oasis","Familiar To Millions - The Highlights","Gas Panic! - Live at Wembley Stadium, 2000",0.263,0.943,"F",-3.999,"minor",0.0597,0.000575,0.0752,0.986,0.348,147.876,481280,28
"43","Oasis","Familiar To Millions - The Highlights","Roll With It - Live at Wembley Stadium, 2000",0.243,0.983,"A",-4.504,"minor",0.101,0.00149,2.98e-05,0.938,0.284,131.639,283320,26
"44","Oasis","Familiar To Millions - The Highlights","Wonderwall - Live at Wembley Stadium, 2000",0.142,0.903,"F#",-4.806,"minor",0.05,0.018,0.00682,0.978,0.383,93.183,273920,29
"45","Oasis","Familiar To Millions - The Highlights","Cigarettes & Alcohol - Live at Wembley Stadium, 2000",0.163,0.949,"A",-4.117,"major",0.0681,0.00055,0.0155,0.974,0.156,131.029,412547,26
"46","Oasis","Familiar To Millions - The Highlights","Don't Look Back In Anger - Live at Wembley Stadium, 2000",0.271,0.932,"C",-4.892,"major",0.0584,0.0209,0.011,0.977,0.245,85.267,309267,31
"47","Oasis","Familiar To Millions - The Highlights","Live Forever - Live at Wembley Stadium, 2000",0.222,0.929,"A",-4.051,"minor",0.063,0.00967,0.127,0.962,0.219,91.172,292600,29
"48","Oasis","Familiar To Millions - The Highlights","Champagne Supernova - Live at Wembley Stadium, 2000",0.164,0.894,"D",-4.7,"major",0.0494,0.00511,0.00219,0.986,0.127,82.707,391307,27
"49","Oasis","Familiar To Millions - The Highlights","Rock 'N' Roll Star - Live at Wembley Stadium, 2000",0.146,0.989,"E",-3.234,"major",0.121,0.00289,0.427,0.955,0.136,139.125,384173,25
"50","Oasis","Fmiliar to millions","Fuckin' In The Bushes(Live)",0.362,0.965,"C",-6.536,"major",0.0737,0.0015,0.0359,0.982,0.124,100.522,184573,10
"51","Oasis","Fmiliar to millions","Go Let It Out!(Live)",0.343,0.936,"D",-4.353,"major",0.0433,0.000126,0.0583,0.918,0.545,85.186,331827,10
"52","Oasis","Fmiliar to millions","Who Feels Love?(Live)",0.332,0.883,"A",-5.383,"minor",0.0365,0.000841,0.00686,0.961,0.206,79.978,360000,9
"53","Oasis","Fmiliar to millions","Supersonic(Live)",0.3,0.991,"F#",-4.495,"minor",0.0682,6.89e-05,0.227,0.989,0.188,119.222,272107,12
"54","Oasis","Fmiliar to millions","Shakermaker(Live)",0.264,0.95,"E",-4.374,"major",0.0739,0.00346,0.0165,0.972,0.112,104.902,310600,8
"55","Oasis","Fmiliar to millions","Acquiesce(Live)",0.261,0.99,"F",-4.124,"major",0.169,0.000387,0.00712,0.969,0.12,125.134,259293,11
"56","Oasis","Fmiliar to millions","Step Out (Live)",0.229,0.979,"G",-3.802,"major",0.075,0.000102,0.244,0.987,0.3,137.73,244773,8
"57","Oasis","Fmiliar to millions","Gas Panic!(Live)",0.243,0.952,"F",-3.924,"minor",0.0633,0.000587,0.083,0.99,0.354,147.99,481600,8
"58","Oasis","Fmiliar to millions","Roll With It(Live)",0.22,0.983,"A",-4.443,"minor",0.0821,0.00195,5.27e-05,0.951,0.317,131.669,284027,8
"59","Oasis","Fmiliar to millions","Stand By Me(Live)",0.287,0.909,"G",-4.804,"major",0.0395,0.000293,0.013,0.984,0.233,92.095,351213,10
"60","Oasis","Fmiliar to millions","Wonderwall(Live)",0.194,0.911,"F#",-5.07,"minor",0.0494,0.0224,0.0145,0.982,0.397,94.263,286907,12
"61","Oasis","Fmiliar to millions","Cigarettes & Alcohol(Live)",0.164,0.955,"A",-4.132,"major",0.068,0.000544,0.00999,0.986,0.163,130.237,413667,9
"62","Oasis","Fmiliar to millions","Don't Look Back In Anger(Live)",0.21,0.94,"C",-5.12,"major",0.0779,0.0212,0.0161,0.985,0.22,85.113,327600,15
"63","Oasis","Fmiliar to millions","Live Forever(Live)",0.231,0.938,"A",-3.979,"minor",0.0702,0.00781,0.114,0.99,0.195,90.476,307693,11
"64","Oasis","Fmiliar to millions","Hey Hey, My My(Live)",0.386,0.955,"A",-5.33,"minor",0.0654,0.00216,0.744,0.988,0.225,128.485,226173,8
"65","Oasis","Fmiliar to millions","Champagne Supernova(Live)",0.128,0.892,"D",-4.626,"major",0.0493,0.00463,0.00584,0.987,0.137,83.205,391627,11
"66","Oasis","Fmiliar to millions","Rock'n'Roll Star(Live)",0.147,0.996,"E",-3.423,"major",0.261,0.00924,0.61,0.979,0.0679,137.881,447440,9
"67","Oasis","Fmiliar to millions","Helter Skelter(Live)",0.11,0.977,"A",-3.893,"minor",0.087,0.000131,0.286,0.966,0.168,89.641,393507,7
"68","Oasis","Familiar To Millions","Fuckin'In The Bushes",0.137,0.963,"A",-6.466,"major",0.0859,0.00166,0.0667,0.983,0.136,100.487,184333,13
"69","Oasis","Familiar To Millions","Go Let It Out",0.268,0.936,"D",-4.358,"major",0.0448,0.00013,0.0486,0.943,0.538,85.164,332267,14
"70","Oasis","Familiar To Millions","Who Feels Love?",0.333,0.891,"A",-5.388,"minor",0.0366,0.000811,0.00518,0.947,0.163,79.974,359760,12
"71","Oasis","Familiar To Millions","Supersonic",0.301,0.991,"F#",-4.481,"minor",0.0635,5.65e-05,0.156,0.99,0.181,119.332,270333,16
"72","Oasis","Familiar To Millions","Shakermaker",0.255,0.956,"E",-4.394,"major",0.0977,0.00333,0.0329,0.984,0.128,104.995,313000,12
"73","Oasis","Familiar To Millions","Acquiesce",0.266,0.99,"F",-4.162,"major",0.173,0.000477,0.0062,0.971,0.0914,125.086,258440,14
"74","Oasis","Familiar To Millions","Step Out",0.251,0.979,"E",-3.829,"minor",0.0727,8.04e-05,0.217,0.99,0.286,137.617,245493,12
"75","Oasis","Familiar To Millions","Gas Panic!",0.258,0.948,"F",-3.899,"minor",0.0633,0.000528,0.183,0.987,0.367,147.772,481533,14
"76","Oasis","Familiar To Millions","Roll With It",0.231,0.984,"A",-4.45,"minor",0.082,0.00137,5.72e-05,0.953,0.275,131.584,283707,12
"77","Oasis","Familiar To Millions","Stand by Me",0.283,0.888,"G",-4.795,"major",0.039,0.000327,0.00633,0.99,0.238,92.099,349000,14
"78","Oasis","Familiar To Millions","Wonderwall",0.146,0.919,"F#",-5.101,"minor",0.0604,0.0194,0.0195,0.981,0.403,93.868,286467,19
"79","Oasis","Familiar To Millions","Cigarettes & Alcohol",0.164,0.954,"A",-4.095,"major",0.0711,0.000551,0.0215,0.977,0.17,130.45,412027,14
"80","Oasis","Familiar To Millions","Don't Look Back In Anger",0.263,0.936,"C",-5.088,"major",0.0771,0.0238,0.0135,0.969,0.227,84.816,327600,21
